record_name,step,forward_iterations,a,b,val_loss
gptm_record,2000,100,-0.2,-0.2,3.3219244480133057
gptm_record,2000,100,-0.2,-0.04444444444444445,3.2627360820770264
gptm_record,2000,100,-0.2,0.1111111111111111,3.2203946113586426
gptm_record,2000,100,-0.2,0.26666666666666666,3.192030906677246
gptm_record,2000,100,-0.2,0.4222222222222222,3.176239490509033
gptm_record,2000,100,-0.2,0.5777777777777777,3.1718273162841797
gptm_record,2000,100,-0.2,0.7333333333333334,3.17844295501709
gptm_record,2000,100,-0.2,0.8888888888888891,3.1960291862487793
gptm_record,2000,100,-0.2,1.0444444444444445,3.225583553314209
gptm_record,2000,100,-0.2,1.2,3.2675371170043945
gptm_record,2000,100,-0.04444444444444445,-0.2,3.2629575729370117
gptm_record,2000,100,-0.04444444444444445,-0.04444444444444445,3.2137508392333984
gptm_record,2000,100,-0.04444444444444445,0.1111111111111111,3.179176092147827
gptm_record,2000,100,-0.04444444444444445,0.26666666666666666,3.1576030254364014
gptm_record,2000,100,-0.04444444444444445,0.4222222222222222,3.1474149227142334
gptm_record,2000,100,-0.04444444444444445,0.5777777777777777,3.1478912830352783
gptm_record,2000,100,-0.04444444444444445,0.7333333333333334,3.1590099334716797
gptm_record,2000,100,-0.04444444444444445,0.8888888888888891,3.180269956588745
gptm_record,2000,100,-0.04444444444444445,1.0444444444444445,3.2130143642425537
gptm_record,2000,100,-0.04444444444444445,1.2,3.2578656673431396
gptm_record,2000,100,0.1111111111111111,-0.2,3.220189332962036
gptm_record,2000,100,0.1111111111111111,-0.04444444444444445,3.1791138648986816
gptm_record,2000,100,0.1111111111111111,0.1111111111111111,3.151270866394043
gptm_record,2000,100,0.1111111111111111,0.26666666666666666,3.1354503631591797
gptm_record,2000,100,0.1111111111111111,0.4222222222222222,3.1300644874572754
gptm_record,2000,100,0.1111111111111111,0.5777777777777777,3.134889602661133
gptm_record,2000,100,0.1111111111111111,0.7333333333333334,3.149352788925171
gptm_record,2000,100,0.1111111111111111,0.8888888888888891,3.1744368076324463
gptm_record,2000,100,0.1111111111111111,1.0444444444444445,3.210590124130249
gptm_record,2000,100,0.1111111111111111,1.2,3.2591452598571777
gptm_record,2000,100,0.26666666666666666,-0.2,3.191321849822998
gptm_record,2000,100,0.26666666666666666,-0.04444444444444445,3.156780242919922
gptm_record,2000,100,0.26666666666666666,0.1111111111111111,3.1351420879364014
gptm_record,2000,100,0.26666666666666666,0.26666666666666666,3.1239213943481445
gptm_record,2000,100,0.26666666666666666,0.4222222222222222,3.122516632080078
gptm_record,2000,100,0.26666666666666666,0.5777777777777777,3.131235361099243
gptm_record,2000,100,0.26666666666666666,0.7333333333333334,3.1496944427490234
gptm_record,2000,100,0.26666666666666666,0.8888888888888891,3.1781444549560547
gptm_record,2000,100,0.26666666666666666,1.0444444444444445,3.217756986618042
gptm_record,2000,100,0.4222222222222222,-0.2,3.174943685531616
gptm_record,2000,100,0.4222222222222222,-0.04444444444444445,3.1463372707366943
gptm_record,2000,100,0.4222222222222222,0.1111111111111111,3.129178524017334
gptm_record,2000,100,0.4222222222222222,0.26666666666666666,3.122351884841919
gptm_record,2000,100,0.4222222222222222,0.4222222222222222,3.12498140335083
gptm_record,2000,100,0.4222222222222222,0.5777777777777777,3.137105941772461
gptm_record,2000,100,0.4222222222222222,0.7333333333333334,3.1591408252716064
gptm_record,2000,100,0.4222222222222222,0.8888888888888891,3.191237211227417
gptm_record,2000,100,0.5777777777777777,-0.2,3.169984817504883
gptm_record,2000,100,0.5777777777777777,-0.04444444444444445,3.1460158824920654
gptm_record,2000,100,0.5777777777777777,0.1111111111111111,3.133176326751709
gptm_record,2000,100,0.5777777777777777,0.26666666666666666,3.1300411224365234
gptm_record,2000,100,0.5777777777777777,0.4222222222222222,3.1365926265716553
gptm_record,2000,100,0.5777777777777777,0.5777777777777777,3.1521966457366943
gptm_record,2000,100,0.5777777777777777,0.7333333333333334,3.1778159141540527
gptm_record,2000,100,0.7333333333333334,-0.2,3.176084518432617
gptm_record,2000,100,0.7333333333333334,-0.04444444444444445,3.1564900875091553
gptm_record,2000,100,0.7333333333333334,0.1111111111111111,3.1473424434661865
gptm_record,2000,100,0.7333333333333334,0.26666666666666666,3.1477298736572266
gptm_record,2000,100,0.7333333333333334,0.4222222222222222,3.157813310623169
gptm_record,2000,100,0.7333333333333334,0.5777777777777777,3.1772637367248535
gptm_record,2000,100,0.8888888888888891,-0.2,3.193593978881836
gptm_record,2000,100,0.8888888888888891,-0.04444444444444445,3.177238702774048
gptm_record,2000,100,0.8888888888888891,0.1111111111111111,3.1716864109039307
gptm_record,2000,100,0.8888888888888891,0.26666666666666666,3.1757798194885254
gptm_record,2000,100,0.8888888888888891,0.4222222222222222,3.189169406890869
gptm_record,2000,100,1.0444444444444445,-0.2,3.2225394248962402
gptm_record,2000,100,1.0444444444444445,-0.04444444444444445,3.209798574447632
gptm_record,2000,100,1.0444444444444445,0.1111111111111111,3.207420587539673
gptm_record,2000,100,1.0444444444444445,0.26666666666666666,3.2147440910339355
gptm_record,2000,100,1.2,-0.2,3.264009714126587
gptm_record,2000,100,1.2,-0.04444444444444445,3.254533529281616
gptm_record,2000,100,1.2,0.1111111111111111,3.2554335594177246
