alpha,loss,step
0.0,10.82583999633789,0
4.0,10.740580558776855,0
8.0,12.072113990783691,0
5.52786404500042,11.311929702758789,0
6.47213595499958,11.634551048278809,0
4.944271909999159,11.094606399536133,0
4.583592135001261,10.961722373962402,0
4.360679774997897,10.88213062286377,0
4.222912360003365,10.831673622131348,0
4.137767414994532,10.803598403930664,0
4.085144945008833,10.781730651855469,0
4.0526224699857,10.768098831176758,0
4.032522475023133,10.760675430297852,0
4.020099994962566,10.754734992980957,0
4.012422480060567,10.754731178283691,0
4.0076775149019985,10.754732131958008,0
4.015355029803997,10.754735946655273,0
4.010610064645428,10.754730224609375,0
4.009489930317137,10.754732131958008,0
4.011302345732277,10.754731178283691,0
4.010182211403986,10.754733085632324,0
4.010874492490836,10.754730224609375,0
4.01103791788687,10.75473690032959,0
0.0,3.361769437789917,1000
4.0,3.5110814571380615,1000
1.5278640450004204,3.3686161041259766,1000
2.4721359549995796,3.398695945739746,1000
0.9442719099991588,3.357426881790161,1000
0.5835921350012616,3.3559155464172363,1000
0.36067977499789694,3.357267141342163,1000
0.7213595499957939,3.355987071990967,1000
0.498447189992429,3.3567512035369873,1000
0.6362146049869611,3.3559086322784424,1000
0.6687370800100945,3.355938196182251,1000
0.616114610024395,3.3558950424194336,1000
0.6036921299638276,3.3559024333953857,1000
0.6237921249263937,3.3558919429779053,1000
0.6285370900849626,3.3558943271636963,1000
0.620859575182964,3.355896234512329,1000
0.6256045403415329,3.355888843536377,1000
0.6267246746698233,3.3559019565582275,1000
0.624912259254684,3.3558990955352783,1000
0.6260323935829744,3.3558998107910156,1000
0.6253401124961253,3.3559153079986572,1000
0.6257679657375668,3.3559114933013916,1000
0.0,3.2033984661102295,2000
4.0,3.323979616165161,2000
1.5278640450004204,3.2101314067840576,2000
2.4721359549995796,3.2320282459259033,2000
0.9442719099991588,3.2004637718200684,2000
0.5835921350012616,3.1991426944732666,2000
0.36067977499789694,3.2001519203186035,2000
0.7213595499957939,3.1992440223693848,2000
0.498447189992429,3.199795961380005,2000
0.6362146049869611,3.199159860610962,2000
0.5510696599781284,3.1991004943847656,2000
0.5309696650155623,3.199145793914795,2000
0.5634921400386956,3.1991217136383057,2000
0.5433921450761298,3.199159622192383,2000
0.5558146251366971,3.1991732120513916,2000
0.5481371102346987,3.1991426944732666,2000
0.5528820753932675,3.1991753578186035,2000
0.5499495256498379,3.199110269546509,2000
0.5517619410649772,3.1991686820983887,2000
0.5506418067366868,3.199136257171631,2000
0.5513340878235359,3.199134588241577,2000
0.5509062345820944,3.199136257171631,2000
0.0,3.1089775562286377,3000
4.0,3.1968371868133545,3000
1.5278640450004204,3.115102767944336,3000
2.4721359549995796,3.1304616928100586,3000
0.9442719099991588,3.1076271533966064,3000
0.5835921350012616,3.1064815521240234,3000
0.36067977499789694,3.106954336166382,3000
0.7213595499957939,3.106609344482422,3000
0.498447189992429,3.106734275817871,3000
0.6362146049869611,3.106522560119629,3000
0.5510696599781284,3.1064469814300537,3000
0.5309696650155623,3.106478452682495,3000
0.5634921400386956,3.1064395904541016,3000
0.5711696549406943,3.1064798831939697,3000
0.5587471748801269,3.106471061706543,3000
0.5664246897821253,3.106468915939331,3000
0.5616797246235565,3.10650372505188,3000
0.5646122743669861,3.106513261795044,3000
0.5627998589518468,3.1064906120300293,3000
0.5639199932801372,3.1064839363098145,3000
0.5632277121932882,3.1064863204956055,3000
0.5636555654347296,3.1064915657043457,3000
0.0,3.0333988666534424,4000
4.0,3.1263391971588135,4000
1.5278640450004204,3.042745590209961,4000
2.4721359549995796,3.0586998462677,4000
0.9442719099991588,3.0343008041381836,4000
0.5835921350012616,3.03249454498291,4000
0.36067977499789694,3.032198190689087,4000
0.22291236000336473,3.032668113708496,4000
0.44582472000672957,3.03212308883667,4000
0.498447189992429,3.032130718231201,4000
0.41330224498359625,3.032161235809326,4000
0.4659247149692956,3.0321381092071533,4000
0.4334022399461622,3.0321288108825684,4000
0.4535022349087282,3.0321381092071533,4000
0.44107975484816075,3.032166004180908,4000
0.4487572697501593,3.032127618789673,4000
0.44401230459159036,3.0321247577667236,4000
0.44694485433502,3.0321550369262695,4000
0.4451324389198807,3.032134771347046,4000
0.446252573248171,3.0321342945098877,4000
0.4455602921613221,3.032151699066162,4000
0.44598814540276344,3.032125473022461,4000
